nome_municipio,codigo_ibge,idhm_educa,idhm_renda,qtd_pes_baixa_renda,qtd_pes_pob
São Geraldo do Baixio (MG),316165,0.482,0.631,525,1061
São Gonçalo (RJ),330490,0.681,0.711,66426,187124
São Gonçalo do Abaeté (MG),316170,0.568,0.665,865,1662
São Gonçalo do Amarante (CE),231240,0.646,0.587,10463,20712
São Gonçalo do Amarante (RN),241200,0.564,0.619,16868,39547
São Gonçalo do Gurguéia (PI),220975,0.438,0.572,331,1522
São Gonçalo do Pará (MG),316180,0.57,0.682,1715,1123
São Gonçalo do Piauí (PI),220980,0.588,0.538,481,2677
São Gonçalo do Rio Abaixo (MG),316190,0.569,0.658,1906,1727
São Gonçalo do Rio Preto (MG),312550,0.542,0.593,475,846
São Gonçalo do Sapucaí (MG),316200,0.609,0.706,3067,5356
São Gonçalo dos Campos (BA),292930,0.516,0.636,6818,10444
São Gotardo (MG),316210,0.632,0.739,5616,5043
São Jerônimo (RS),431840,0.56,0.734,2092,3993
São Jerônimo da Serra (PR),412470,0.503,0.626,1919,2509
São João (PE),261320,0.426,0.565,3164,11450
São João (PR),412480,0.66,0.695,1369,768
São João Batista (MA),211100,0.577,0.493,1686,14539
São João Batista (SC),421630,0.634,0.739,3470,1777
São João Batista do Glória (MG),316220,0.631,0.713,1013,590
São João da Baliza (RR),140050,0.587,0.614,1079,3982
São João da Barra (RJ),330500,0.551,0.686,5553,14010
São João da Boa Vista (SP),354910,0.749,0.776,5856,5221
São João da Canabrava (PI),220985,0.446,0.539,575,2318
São João da Fronteira (PI),220987,0.351,0.516,605,3265
São João da Lagoa (MG),316225,0.546,0.575,802,2118
São João da Mata (MG),316230,0.501,0.676,313,861
São João da Paraúna (GO),522005,0.664,0.699,264,385
São João da Ponta (PA),150746,0.495,0.522,767,3651
São João da Ponte (MG),316240,0.419,0.559,4015,9447
São João da Serra (PI),220990,0.478,0.545,722,3106
São João da Urtiga (RS),431842,0.575,0.702,382,97
São João da Varjota (PI),220995,0.46,0.536,570,2443
São João D'Aliança (GO),522000,0.609,0.65,2506,3088
São João das Duas Pontes (SP),354920,0.686,0.675,294,187
São João das Missões (MG),316245,0.381,0.502,3396,5182
São João de Iracema (SP),354925,0.738,0.682,276,121
São João de Meriti (RJ),330510,0.646,0.693,32910,97144
São João de Pirabas (PA),150747,0.393,0.529,2381,11469
São João Del Rei (MG),316250,0.69,0.733,9451,9912
São João do Araguaia (PA),150750,0.424,0.53,2067,7889
São João do Arraial (PI),220997,0.401,0.496,1023,5223
São João do Caiuá (PR),412490,0.551,0.678,960,1311
São João do Cariri (PB),251400,0.488,0.618,582,1962
São João do Carú (MA),211102,0.397,0.487,1580,8045
São João do Itaperiú (SC),421635,0.645,0.714,446,535
São João do Ivaí (PR),412500,0.611,0.677,1899,1544
São João do Jaguaribe (CE),231250,0.576,0.62,741,2024
São João do Manhuaçu (MG),316255,0.498,0.659,1957,5061
São João do Manteninha (MG),316257,0.522,0.623,885,1855
São João do Oeste (SC),421625,0.668,0.756,133,73
São João do Oriente (MG),316260,0.536,0.631,1459,2803
São João do Pacuí (MG),316265,0.504,0.606,613,1543
São João do Paraíso (MA),211105,0.542,0.554,1208,5187
São João do Paraíso (MG),316270,0.493,0.583,3770,5939
São João do Pau D'Alho (SP),354930,0.692,0.714,194,271
São João do Piauí (PI),221000,0.567,0.615,2903,8094
São João do Polêsine (RS),431843,0.661,0.748,250,296
São João do Rio do Peixe (PB),250070,0.49,0.586,2869,6360
São João do Sabugi (RN),241210,0.581,0.62,843,2125
São João do Soter (MA),211107,0.401,0.486,2279,10345
São João do Sul (SC),421640,0.587,0.682,603,1355
São João do Tigre (PB),251410,0.424,0.523,568,2275
São João do Triunfo (PR),412510,0.475,0.655,2612,1337
São João dos Patos (MA),211110,0.522,0.613,2743,11543
São João Evangelista (MG),316280,0.52,0.62,2348,3588
São João Nepomuceno (MG),316290,0.6,0.696,3847,4102
São Joaquim (SC),421650,0.562,0.705,3349,2677
São Joaquim da Barra (SP),354940,0.706,0.74,3300,4058
São Joaquim de Bicas (MG),316292,0.518,0.664,4886,9178
São Joaquim do Monte (PE),261330,0.381,0.549,1946,11282
São Jorge (RS),431844,0.617,0.75,149,45
São Jorge do Ivaí (PR),412530,0.696,0.727,823,355
São Jorge do Patrocínio (PR),412535,0.543,0.702,756,444
São Jorge D'Oeste (PR),412520,0.656,0.705,1476,396
São José (SC),421660,0.752,0.799,14653,17337
São José da Barra (MG),316294,0.637,0.722,1122,1153
São José da Bela Vista (SP),354950,0.58,0.679,852,2051
São José da Boa Vista (PR),412540,0.594,0.651,1089,840
São José da Coroa Grande (PE),261340,0.522,0.585,2403,10535
São José da Lagoa Tapada (PB),251420,0.389,0.53,852,3928
São José da Laje (AL),270830,0.434,0.574,2469,8037
São José da Lapa (MG),316295,0.679,0.677,3122,4285
São José da Safira (MG),316300,0.432,0.6,626,1768
São José da Tapera (AL),270840,0.409,0.508,6099,16022
São José da Varginha (MG),316310,0.597,0.682,742,740
São José da Vitória (BA),292935,0.429,0.553,920,3599
São José das Missões (RS),431845,0.542,0.652,343,408
São José das Palmeiras (PR),412545,0.627,0.686,704,552
São José de Caiana (PB),251430,0.434,0.545,644,3431
São José de Espinharas (PB),251440,0.448,0.543,627,1814
São José de Mipibu (RN),241220,0.508,0.599,7783,17542
São José de Piranhas (PB),251450,0.461,0.594,2200,8971
São José de Princesa (PB),251455,0.443,0.533,458,1837
São José de Ribamar (MA),211120,0.7,0.642,29625,70815
São José de Ubá (RJ),330513,0.548,0.633,1108,1910
São José do Alegre (MG),316320,0.652,0.676,784,642
São José do Barreiro (SP),354960,0.591,0.666,837,861
São José do Belmonte (PE),261350,0.52,0.569,5024,16293
São José do Bonfim (PB),251460,0.493,0.549,637,1697
São José do Brejo do Cruz (PB),251465,0.473,0.535,379,731
São José do Calçado (ES),320480,0.599,0.669,1548,3438
São José do Campestre (RN),241230,0.522,0.564,1172,5278
São José do Cedro (SC),421670,0.625,0.753,894,783
São José do Cerrito (SC),421680,0.503,0.618,1391,2163
São José do Divino (MG),316330,0.583,0.627,524,1380
São José do Divino (PI),221005,0.44,0.529,785,2843
São José do Egito (PE),261360,0.554,0.602,3552,13435
São José do Goiabal (MG),316340,0.553,0.657,809,1286
São José do Herval (RS),431846,0.622,0.701,176,445
São José do Hortêncio (RS),431848,0.597,0.717,158,81
São José do Inhacorá (RS),431849,0.702,0.723,110,29
São José do Jacuípe (BA),292937,0.417,0.555,1711,4350
São José do Jacuri (MG),316350,0.417,0.582,867,2178
São José do Mantimento (MG),316360,0.562,0.612,313,1118
São José do Norte (RS),431850,0.461,0.663,5211,3710
São José do Ouro (RS),431860,0.669,0.759,485,483
São José do Peixe (PI),221010,0.449,0.548,455,1620
São José do Piauí (PI),221020,0.423,0.569,1054,3053
São José do Povo (MT),510729,0.577,0.63,506,295
São José do Rio Claro (MT),510730,0.548,0.689,2203,2936
São José do Rio Pardo (SP),354970,0.717,0.744,3513,6322
São José do Rio Preto (SP),354980,0.748,0.801,24746,42988
São José do Sabugi (PB),251470,0.514,0.584,937,1605
São José do Seridó (RN),241240,0.647,0.634,1132,1069
São José do Sul (RS),431861,0.59,0.774,102,70
São José do Vale do Rio Preto (RJ),330515,0.533,0.67,3557,3303
São José do Xingu (MT),510735,0.487,0.703,1051,2440
São José dos Ausentes (RS),431862,0.541,0.674,455,973
São José dos Basílios (MA),211125,0.48,0.501,1019,3478
São José dos Campos (SP),354990,0.764,0.804,56375,91811
São José dos Cordeiros (PB),251480,0.407,0.542,675,1607
São José dos Pinhais (PR),412550,0.678,0.749,33298,36424
São José dos Quatro Marcos (MT),510710,0.643,0.707,2301,2517
São José dos Ramos (PB),251445,0.406,0.527,964,2876
São Julião (PI),221030,0.455,0.593,457,2920
São Leopoldo (RS),431870,0.612,0.766,19835,36497
São Lourenço (MG),316370,0.673,0.746,5814,5926
São Lourenço da Mata (PE),261370,0.571,0.614,15331,38937
São Lourenço da Serra (SP),354995,0.666,0.704,1379,4072
São Lourenço do Oeste (SC),421690,0.695,0.748,1926,995
São Lourenço do Piauí (PI),221035,0.499,0.56,594,2487
São Lourenço do Sul (RS),431880,0.528,0.722,3592,4887
São Ludgero (SC),421700,0.683,0.756,778,296
São Luís (MA),211130,0.752,0.741,111183,293421
São Luís de Montes Belos (GO),522010,0.67,0.721,4674,4576
São Luís do Curu (CE),231260,0.593,0.558,2120,5508
São Luiz do Paraitinga (SP),355000,0.593,0.691,1354,1711
São Luis do Piauí (PI),221037,0.433,0.52,459,1022
São Luís do Quitunde (AL),270850,0.4,0.55,3052,14049
São Luís Gonzaga do Maranhão (MA),211140,0.438,0.503,2311,9828
São Luiz (RR),140060,0.574,0.605,1122,4211
São Luiz do Norte (GO),522015,0.581,0.643,747,1611
São Luiz Gonzaga (RS),431890,0.664,0.718,4103,4192
São Mamede (PB),251490,0.558,0.617,949,3318
