nome_municipio,codigo_ibge,idhm_educa,idhm_renda,qtd_pes_baixa_renda,qtd_pes_pob
Jenipapo de Minas (MG),313545,0.52,0.588,1108,1802
Jenipapo dos Vieiras (MA),210547,0.346,0.445,2139,10468
Jequeri (MG),313550,0.451,0.607,1442,3777
Jequiá da Praia (AL),270375,0.43,0.517,1062,5986
Jequié (BA),291800,0.568,0.656,25004,44930
Jequitaí (MG),313560,0.552,0.605,779,3375
Jequitibá (MG),313570,0.492,0.777,897,1378
Jequitinhonha (MG),313580,0.461,0.619,3074,7586
Jeremoabo (BA),291810,0.424,0.561,3738,18821
Jericó (PB),250740,0.476,0.577,975,3179
Jeriquara (SP),352540,0.628,0.68,538,708
Jerônimo Monteiro (ES),320310,0.589,0.685,1761,2500
Jerumenha (PI),220530,0.461,0.569,616,2247
Jesuânia (MG),313590,0.507,0.675,849,1598
Jesuítas (PR),411275,0.615,0.68,1078,1353
Jesúpolis (GO),521205,0.522,0.642,344,880
Jijoca de Jericoacoara (CE),230725,0.625,0.614,4345,9834
Ji-Paraná (RO),110012,0.617,0.728,16427,17664
Jiquiriçá (BA),291820,0.397,0.558,1982,6930
Jitaúna (BA),291830,0.479,0.563,1497,7052
Joaçaba (SC),420900,0.771,0.823,1642,1146
Joaíma (MG),313600,0.448,0.572,1866,6647
Joanésia (MG),313610,0.495,0.616,659,1203
Joanópolis (SP),352550,0.585,0.707,1378,1409
João Alfredo (PE),260810,0.466,0.569,3759,11245
João Câmara (RN),240580,0.484,0.6,4492,16921
João Costa (PI),220535,0.46,0.51,515,1500
João Dias (RN),240590,0.39,0.495,328,1206
João Dourado (BA),291835,0.513,0.573,4998,11459
João Lisboa (MA),210550,0.573,0.585,4374,10746
João Monlevade (MG),313620,0.708,0.724,4683,7393
João Neiva (ES),320313,0.663,0.751,2041,1714
João Pessoa (PB),250750,0.693,0.77,82733,193587
João Pinheiro (MG),313630,0.63,0.683,6172,10033
João Ramalho (SP),352560,0.71,0.701,509,802
Joaquim Felício (MG),313640,0.489,0.642,548,1469
Joaquim Gomes (AL),270380,0.386,0.509,2385,10465
Joaquim Nabuco (PE),260820,0.449,0.561,1346,8015
Joaquim Pires (PI),220540,0.384,0.485,2052,6764
Joaquim Távora (PR),411280,0.613,0.699,1410,1410
Joca Marques (PI),220545,0.353,0.501,575,3578
Jóia (RS),431115,0.572,0.671,764,1612
Joinville (SC),420910,0.749,0.795,36434,34114
Jordânia (MG),313650,0.506,0.613,1418,2593
Jordão (AC),120032,0.283,0.499,1352,6766
José Boiteux (SC),420915,0.578,0.689,669,894
José Bonifácio (SP),352570,0.717,0.752,3463,1611
José da Penha (RN),240600,0.489,0.583,1123,2358
José de Freitas (PI),220550,0.512,0.591,7170,17225
José Gonçalves de Minas (MG),313652,0.553,0.597,683,1377
José Raydan (MG),313655,0.493,0.596,706,1347
Joselândia (MA),210560,0.445,0.533,2299,8391
Josenópolis (MG),313657,0.424,0.541,661,1396
Joviânia (GO),521210,0.595,0.714,922,600
Juara (MT),510510,0.543,0.699,4159,4740
Juarez Távora (PB),250760,0.465,0.544,684,5015
Juarina (TO),171180,0.478,0.563,658,699
Juatuba (MG),313665,0.649,0.67,4186,6726
Juazeirinho (PB),250770,0.435,0.557,3060,7838
Juazeiro (BA),291840,0.594,0.657,32543,93329
Juazeiro do Norte (CE),230730,0.642,0.644,52900,80768
Juazeiro do Piauí (PI),220551,0.47,0.522,587,2756
Jucás (CE),230740,0.511,0.541,3946,10196
Jucati (PE),260825,0.451,0.541,1882,5811
Jucuruçu (BA),291845,0.415,0.508,1276,4796
Jucurutu (RN),240610,0.492,0.583,2782,6678
Juína (MT),510515,0.593,0.733,5564,5498
Juiz de Fora (MG),313670,0.711,0.784,47144,59819
Júlio Borges (PI),220552,0.508,0.5,978,2657
Júlio de Castilhos (RS),431120,0.602,0.733,1977,2972
Júlio Mesquita (SP),352580,0.686,0.659,460,1024
Jumirim (SP),352585,0.655,0.721,451,186
Junco do Maranhão (MA),210565,0.443,0.55,628,3073
Junco do Seridó (PB),250780,0.576,0.571,945,3287
Jundiá (AL),270390,0.434,0.573,581,2233
Jundiá (RN),240615,0.492,0.552,646,1979
Jundiaí (SP),352590,0.768,0.834,11201,18536
Jundiaí do Sul (PR),411290,0.605,0.66,639,723
Junqueiro (AL),270400,0.454,0.586,4329,9716
Junqueirópolis (SP),352600,0.662,0.727,1879,2065
Jupi (PE),260830,0.487,0.56,2682,8202
Jupiá (SC),420917,0.61,0.708,303,205
Juquiá (SP),352610,0.637,0.654,2574,3946
Juquitiba (SP),352620,0.662,0.68,4525,7753
Juramento (MG),313680,0.617,0.601,780,1341
Juranda (PR),411295,0.639,0.678,1197,1044
Jurema (PE),260840,0.372,0.522,1320,8528
Jurema (PI),220553,0.435,0.511,549,3492
Juripiranga (PB),250790,0.448,0.544,1825,4566
Juru (PB),250800,0.443,0.552,1123,4218
Juruá (AM),130220,0.376,0.538,792,7571
Juruaia (MG),313690,0.553,0.794,1589,962
Juruena (MT),510517,0.563,0.647,1445,2211
Juruti (PA),150390,0.501,0.547,7641,25192
Juscimeira (MT),510520,0.637,0.678,1254,1676
Jussara (BA),291850,0.476,0.544,1414,9621
Jussara (GO),521220,0.635,0.768,2899,4391
Jussara (PR),411300,0.619,0.716,712,652
Jussari (BA),291855,0.451,0.577,416,3105
Jussiape (BA),291860,0.493,0.6,1065,2945
Jutaí (AM),130230,0.34,0.528,2390,19140
Juti (MS),500515,0.485,0.646,1257,1840
Juvenília (MG),313695,0.501,0.535,978,2512
Kaloré (PR),411310,0.657,0.673,532,966
Lábrea (AM),130240,0.374,0.538,4777,30683
Lacerdópolis (SC),420920,0.708,0.763,85,17
Ladainha (MG),313700,0.391,0.537,1765,6041
Ladário (MS),500520,0.618,0.687,2557,5793
Lafaiete Coutinho (BA),291870,0.483,0.576,790,1458
Lagamar (MG),313710,0.637,0.692,700,1407
Lagarto (SE),280350,0.515,0.613,14245,43082
Lages (SC),420930,0.697,0.755,15788,20127
Lago da Pedra (MA),210570,0.502,0.561,3995,23693
Lago do Junco (MA),210580,0.492,0.537,909,5313
Lago dos Rodrigues (MA),210594,0.534,0.555,1311,4524
Lago Verde (MA),210590,0.466,0.508,2148,8462
Lagoa (PB),250810,0.448,0.533,614,2201
Lagoa Alegre (PI),220555,0.425,0.538,893,6583
Lagoa Bonita do Sul (RS),431123,0.539,0.696,306,317
Lagoa da Canoa (AL),270410,0.443,0.541,2491,10764
Lagoa da Confusão (TO),171190,0.496,0.63,1698,4430
Lagoa da Prata (MG),313720,0.655,0.72,5779,6609
Lagoa D'Anta (RN),240620,0.507,0.58,976,3583
Lagoa de Dentro (PB),250820,0.444,0.539,927,4017
Lagoa de Itaenga (PE),260850,0.509,0.555,2758,7964
Lagoa de Pedras (RN),240630,0.436,0.529,867,4517
Lagoa de São Francisco (PI),220557,0.4,0.499,1086,3151
Lagoa de Velhos (RN),240640,0.458,0.566,533,1291
Lagoa do Barro do Piauí (PI),220556,0.358,0.474,906,2273
Lagoa do Carro (PE),260845,0.505,0.566,2655,7743
Lagoa do Mato (MA),210592,0.475,0.525,928,6210
Lagoa do Ouro (PE),260860,0.369,0.536,2041,6232
Lagoa do Piauí (PI),220558,0.464,0.548,506,2573
Lagoa do Sítio (PI),220559,0.421,0.504,731,3022
Lagoa do Tocantins (TO),171195,0.471,0.543,722,1235
Lagoa dos Gatos (PE),260870,0.416,0.555,1304,7676
Lagoa dos Patos (MG),313730,0.556,0.593,587,1597
Lagoa dos Três Cantos (RS),431127,0.754,0.765,97,82
Lagoa Dourada (MG),313740,0.554,0.672,2831,2337
Lagoa Formosa (MG),313750,0.582,0.717,1575,3501
Lagoa Grande (MG),313753,0.568,0.678,1928,1429
Lagoa Grande (PE),260875,0.52,0.581,4135,11692
Lagoa Grande do Maranhão (MA),210596,0.36,0.48,1763,7756
Lagoa Nova (RN),240650,0.483,0.542,3236,6485
Lagoa Real (BA),291875,0.395,0.535,1897,5988
Lagoa Salgada (RN),240660,0.464,0.551,1046,6679
Lagoa Santa (GO),521225,0.638,0.733,192,736
Lagoa Santa (MG),313760,0.693,0.79,6539,8505
Lagoa Seca (PB),250830,0.516,0.621,4885,10442
Lagoa Vermelha (RS),431130,0.62,0.734,2575,4024
Lagoão (RS),431125,0.505,0.641,585,1983
Lagoinha (SP),352630,0.609,0.686,666,959
Lagoinha do Piauí (PI),220554,0.488,0.561,426,1416
Laguna (SC),420940,0.682,0.715,3574,3329
Laguna Carapã (MS),500525,0.545,0.676,1202,1539
Laje (BA),291880,0.48,0.548,2526,10975
Laje do Muriaé (RJ),330230,0.575,0.649,1024,2175
Lajeado (RS),431140,0.704,0.796,5624,4540
Lajeado (TO),171200,0.573,0.673,734,521
Lajeado do Bugre (RS),431142,0.465,0.604,375,838
Lajeado Grande (SC),420945,0.712,0.75,215,122
Lajeado Novo (MA),210598,0.494,0.561,630,4290
Lajedão (BA),291890,0.497,0.652,682,1786
Lajedinho (BA),291900,0.413,0.522,521,1849
Lajedo (PE),260880,0.503,0.599,5698,20404
Lajedo do Tabocal (BA),291905,0.479,0.545,1254,3403
Lajes (RN),240670,0.557,0.578,1664,3617
Lajes Pintadas (RN),240680,0.568,0.559,892,2260
Lajinha (MG),313770,0.541,0.659,3057,7487
Lamarão (BA),291910,0.372,0.501,963,5597
Lambari (MG),313780,0.596,0.693,3320,4074
Lambari D'Oeste (MT),510523,0.467,0.67,703,1268
Lamim (MG),313790,0.546,0.623,477,934
Landri Sales (PI),220560,0.48,0.563,630,2996
Lapa (PR),411320,0.595,0.696,4800,5525
Lapão (BA),291915,0.51,0.55,4263,13236
Laranja da Terra (ES),320316,0.55,0.633,1629,2208
Laranjal (MG),313800,0.613,0.694,920,1147
Laranjal (PR),411325,0.436,0.581,951,2544
Laranjal do Jari (AP),160027,0.573,0.641,4503,18299
Laranjal Paulista (SP),352640,0.639,0.732,2812,3585
Laranjeiras (SE),280360,0.582,0.589,4155,8974
Laranjeiras do Sul (PR),411330,0.594,0.709,3605,2986
Lassance (MG),313810,0.511,0.614,983,2527
Lastro (PB),250840,0.38,0.532,581,1543
Laurentino (SC),420950,0.662,0.742,445,355
Lauro de Freitas (BA),291920,0.663,0.781,23103,56955
Lauro Müller (SC),420960,0.677,0.714,1133,826
Lavandeira (TO),171215,0.62,0.598,394,547
Lavínia (SP),352650,0.655,0.698,572,493
Lavras (MG),313820,0.719,0.757,13412,10979
Lavras da Mangabeira (CE),230750,0.515,0.576,4047,13264
Lavras do Sul (RS),431150,0.577,0.683,750,1557
Lavrinhas (SP),352660,0.707,0.665,848,1684
Leandro Ferreira (MG),313830,0.579,0.707,490,470
Lebon Régis (SC),420970,0.537,0.632,2429,1965
Leme (SP),352670,0.665,0.729,8645,12788
Leme do Prado (MG),313835,0.64,0.602,863,963
Lençóis (BA),291930,0.51,0.613,1252,4507
Lençóis Paulista (SP),352680,0.717,0.743,3885,3404
Leoberto Leal (SC),420980,0.533,0.74,485,194
Leopoldina (MG),313840,0.635,0.696,8978,7541
Leopoldo de Bulhões (GO),521230,0.529,0.665,1055,2447
Leópolis (PR),411340,0.663,0.657,621,628
Liberato Salzano (RS),431160,0.583,0.68,642,664
Liberdade (MG),313850,0.537,0.679,636,1081
Licínio de Almeida (BA),291940,0.531,0.582,2000,4562
Lidianópolis (PR),411342,0.598,0.657,693,730
Lima Campos (MA),210600,0.481,0.578,2077,5281
Lima Duarte (MG),313860,0.59,0.705,2448,3399
Limeira (SP),352690,0.719,0.761,17784,36237
Limeira do Oeste (MG),313862,0.62,0.693,626,650
Limoeiro (PE),260890,0.583,0.628,9292,18186
Limoeiro de Anadia (AL),270420,0.457,0.575,3137,14151
Limoeiro do Ajuru (PA),150400,0.425,0.493,3789,19661
Limoeiro do Norte (CE),230760,0.623,0.633,8122,18868
Lindoeste (PR),411345,0.588,0.652,736,1511
Lindóia (SP),352700,0.654,0.722,700,829
Lindóia do Sul (SC),420985,0.636,0.747,378,185
Lindolfo Collor (RS),431162,0.601,0.712,441,655
Linha Nova (RS),431164,0.662,0.751,93,35
Linhares (ES),320320,0.63,0.721,24598,14834
Lins (SP),352710,0.733,0.762,4880,6536
Livramento (PB),250850,0.473,0.523,1023,3516
Livramento de Nossa Senhora (BA),291950,0.491,0.587,7614,16127
Lizarda (TO),171240,0.415,0.584,540,1307
Loanda (PR),411350,0.645,0.724,3494,1422
Lobato (PR),411360,0.692,0.708,596,579
Logradouro (PB),250855,0.47,0.544,545,2519
Londrina (PR),411370,0.712,0.789,42342,63512
Lontra (MG),313865,0.577,0.589,1740,3597
Lontras (SC),420990,0.579,0.735,657,219
Lorena (SP),352720,0.713,0.736,7325,14487
Loreto (MA),210610,0.495,0.516,1574,5386
Lourdes (SP),352725,0.717,0.697,270,420
Louveira (SP),352730,0.697,0.783,3117,3719
Lucas do Rio Verde (MT),510525,0.71,0.766,9504,7827
Lucélia (SP),352740,0.695,0.728,1896,2107
Lucena (PB),250860,0.469,0.577,3219,5539
Lucianópolis (SP),352750,0.662,0.736,251,332
Luciara (MT),510530,0.634,0.617,403,1070
Lucrécia (RN),240690,0.551,0.624,518,1813
Luís Antônio (SP),352760,0.671,0.709,1333,1807
Luís Correia (PI),220570,0.398,0.544,6029,15227
Luís Domingues (MA),210620,0.512,0.541,774,5643
Luís Eduardo Magalhães (BA),291955,0.59,0.754,12482,35433
Luís Gomes (RN),240700,0.531,0.545,1552,3887
Luisburgo (MG),313867,0.455,0.61,1681,2023
Luislândia (MG),313868,0.509,0.568,1119,3048
Luiz Alves (SC),421000,0.6,0.766,884,434
Luiziana (PR),411373,0.58,0.659,1047,1762
Luiziânia (SP),352770,0.623,0.682,543,1294
Luminárias (MG),313870,0.578,0.656,780,1072
Lunardelli (PR),411375,0.607,0.655,922,645
Lupércio (SP),352780,0.674,0.679,652,514
Lupionópolis (PR),411380,0.595,0.703,572,951
Lutécia (SP),352790,0.659,0.67,378,353
Luz (MG),313880,0.63,0.723,1848,2531
Luzerna (SC),421003,0.718,0.781,295,75
Luziânia (GO),521250,0.602,0.689,34112,55751
Luzilândia (PI),220580,0.42,0.55,2718,13605
Luzinópolis (TO),171245,0.605,0.593,788,779
Macaé (RJ),330240,0.681,0.792,21925,51237
Macaíba (RN),240710,0.545,0.613,11256,29807
Macajuba (BA),291960,0.358,0.515,1201,6225
Maçambará (RS),431171,0.58,0.664,411,1527
Macambira (SE),280370,0.474,0.573,1089,3466
Macapá (AP),160030,0.663,0.723,55448,169790
Macaparana (PE),260900,0.508,0.571,5261,8586
Macarani (BA),291970,0.466,0.607,2300,6782
Macatuba (SP),352800,0.697,0.763,1656,852
Macau (RN),240720,0.572,0.65,3065,7919
Macaubal (SP),352810,0.676,0.72,752,1274
Macaúbas (BA),291980,0.513,0.557,6198,17018
Macedônia (SP),352820,0.675,0.705,521,326
Maceió (AL),270430,0.635,0.739,108314,236959
Machacalis (MG),313890,0.552,0.607,773,2977
Machadinho (RS),431170,0.577,0.711,558,323
Machadinho D'Oeste (RO),110013,0.446,0.629,6977,6060
Machado (MG),313900,0.6,0.719,5419,5643
Machados (PE),260910,0.466,0.541,1561,6273
Macieira (SC),421005,0.533,0.675,194,64
Macuco (RJ),330245,0.631,0.687,1514,1671
Macururé (BA),291990,0.539,0.547,1014,4094
Madalena (CE),230763,0.545,0.536,2896,7821
Madeiro (PI),220585,0.489,0.472,933,4630
Madre de Deus (BA),291992,0.667,0.67,2102,6140
Madre de Deus de Minas (MG),313910,0.598,0.667,899,660
Mãe D'Água (PB),250870,0.429,0.52,452,1688
Mãe do Rio (PA),150405,0.458,0.615,3722,17380
Maetinga (BA),291995,0.368,0.565,1007,3695
Mafra (SC),421010,0.723,0.738,3910,4590
Magalhães Barata (PA),150410,0.507,0.524,1418,3854
Magalhães de Almeida (MA),210630,0.499,0.502,2042,6822
Magda (SP),352830,0.717,0.724,443,239
Magé (RJ),330250,0.626,0.685,27912,82012
Maiquinique (BA),292000,0.472,0.586,988,3974
Mairi (BA),292010,0.438,0.575,1682,9313
Mairinque (SP),352840,0.684,0.721,3832,5964
Mairiporã (SP),352850,0.723,0.767,8234,17649
Mairipotaba (GO),521260,0.648,0.748,412,701
Major Gercino (SC),421020,0.563,0.738,399,561
Major Isidoro (AL),270440,0.424,0.566,2609,8166
Major Sales (RN),240725,0.529,0.573,863,1705
Major Vieira (SC),421030,0.617,0.653,1192,1312
Malacacheta (MG),313920,0.505,0.609,2659,4218
Malhada (BA),292020,0.454,0.532,2200,8766
Malhada de Pedras (BA),292030,0.471,0.549,1795,3320
Malhada dos Bois (SE),280380,0.531,0.56,670,1594
Malhador (SE),280390,0.442,0.587,1664,5887
Mallet (PR),411390,0.645,0.681,1134,1567
Malta (PB),250880,0.533,0.62,859,2587
Mamanguape (PB),250890,0.453,0.585,6137,18505
Mambaí (GO),521270,0.494,0.61,1055,3561
Mamborê (PR),411400,0.649,0.698,1762,2207
Mamonas (MG),313925,0.537,0.565,1089,1913
Mampituba (RS),431173,0.517,0.65,388,627
Manacapuru (AM),130250,0.481,0.604,14811,58805
Manaíra (PB),250900,0.426,0.537,1370,5697
Manaquiri (AM),130255,0.51,0.556,2479,11086
Manari (PE),260915,0.354,0.477,1065,12215
Manaus (AM),130260,0.658,0.738,233766,687988
Mâncio Lima (AC),120033,0.546,0.58,2177,12842
Mandaguaçu (PR),411410,0.625,0.717,3389,2762
Mandaguari (PR),411420,0.689,0.732,3479,1192
Mandirituba (PR),411430,0.515,0.677,4081,4406
Manduri (SP),352860,0.675,0.73,1086,1141
Manfrinópolis (PR),411435,0.52,0.642,381,193
Manga (MG),313930,0.53,0.624,3631,7266
Mangaratiba (RJ),330260,0.676,0.746,3739,12449
Mangueirinha (PR),411440,0.579,0.695,3113,2263
Manhuaçu (MG),313940,0.563,0.692,14238,9663
Manhumirim (MG),313950,0.589,0.679,2848,6275
Manicoré (AM),130270,0.456,0.58,6684,26695
Manoel Emídio (PI),220590,0.466,0.534,725,2628
Manoel Ribas (PR),411450,0.628,0.725,2014,2878
Manoel Urbano (AC),120034,0.373,0.586,2213,7736
Manoel Viana (RS),431175,0.534,0.686,887,1184
Manoel Vitorino (BA),292040,0.456,0.538,1661,7554
Mansidão (BA),292045,0.568,0.503,946,7467
Mantena (MG),313960,0.575,0.666,3755,5642
Mantenópolis (ES),320330,0.551,0.636,2053,4088
Maquiné (RS),431177,0.519,0.695,697,1447
Mar de Espanha (MG),313980,0.558,0.694,1751,1633
Mar Vermelho (AL),270490,0.465,0.54,680,1437
Mara Rosa (GO),521280,0.579,0.68,1800,2448
Maraã (AM),130280,0.348,0.466,1979,12206
Marabá (PA),150420,0.564,0.673,38076,73468
Marabá Paulista (SP),352870,0.591,0.65,651,709
Maracaçumé (MA),210632,0.501,0.546,1970,12486
Maracaí (SP),352880,0.758,0.711,1165,1607
Maracajá (SC),421040,0.699,0.752,670,693
Maracaju (MS),500540,0.613,0.744,6077,4766
Maracanã (PA),150430,0.454,0.534,4314,18116
Maracanaú (CE),230765,0.665,0.617,37075,74356
Maracás (BA),292050,0.519,0.577,4373,9706
Maragogi (AL),270450,0.443,0.556,3825,16113
Maragogipe (BA),292060,0.518,0.582,4244,21977
Maraial (PE),260920,0.403,0.541,1241,5257
Marajá do Sena (MA),210635,0.299,0.4,772,4745
Maranguape (CE),230770,0.618,0.587,13650,41305
Maranhãozinho (MA),210637,0.465,0.497,1116,7115
Marapanim (PA),150440,0.521,0.57,2457,15313
Marapoama (SP),352885,0.679,0.736,260,449
Maratá (RS),431179,0.54,0.729,131,107
Marataízes (ES),320332,0.588,0.676,5917,13432
Maraú (BA),292070,0.404,0.643,2390,13013
Marau (RS),431180,0.699,0.773,2538,2540
Maravilha (AL),270460,0.46,0.539,1463,5730
Maravilha (SC),421050,0.708,0.758,1356,772
Maravilhas (MG),313970,0.558,0.645,1076,2062
Marcação (PB),250905,0.408,0.525,1198,5499
Marcelândia (MT),510558,0.604,0.7,2090,2907
Marcelino Ramos (RS),431190,0.618,0.735,390,254
Marcelino Vieira (RN),240730,0.51,0.571,1361,3659
Marcionílio Souza (BA),292080,0.463,0.518,1033,6116
Marco (CE),230780,0.553,0.564,5867,14849
Marcolândia (PI),220595,0.438,0.578,1488,5449
Marcos Parente (PI),220600,0.494,0.58,292,2450
Marechal Cândido Rondon (PR),411460,0.704,0.782,4161,2762
Marechal Deodoro (AL),270470,0.52,0.641,7596,22157
Marechal Floriano (ES),320334,0.589,0.715,2432,1287
Marechal Thaumaturgo (AC),120035,0.361,0.479,2256,12484
Marema (SC),421055,0.636,0.748,124,168
Mari (PB),250910,0.429,0.553,2071,12086
Maria da Fé (MG),313990,0.637,0.646,1773,3432
Maria Helena (PR),411470,0.607,0.68,602,1350
Marialva (PR),411480,0.666,0.733,5754,3799
Mariana (MG),314000,0.664,0.705,6857,12972
Mariana Pimentel (RS),431198,0.568,0.701,378,714
Mariano Moro (RS),431200,0.604,0.763,144,112
Marianópolis do Tocantins (TO),171250,0.504,0.63,746,1025
Mariápolis (SP),352890,0.651,0.684,311,645
Maribondo (AL),270480,0.487,0.581,1490,5230
Maricá (RJ),330270,0.692,0.761,34309,42538
Marilac (MG),314010,0.488,0.609,772,1693
Marilândia (ES),320335,0.612,0.668,2259,1578
Marilândia do Sul (PR),411490,0.599,0.664,1469,1700
Marilena (PR),411500,0.585,0.651,1097,1041
Marília (SP),352900,0.776,0.768,17807,17637
Mariluz (PR),411510,0.504,0.653,2110,1896
Maringá (PR),411520,0.768,0.806,25113,28846
Marinópolis (SP),352910,0.694,0.681,331,209
Mário Campos (MG),314015,0.604,0.68,2213,2862
Mariópolis (PR),411530,0.591,0.717,840,630
Maripá (PR),411535,0.684,0.736,755,157
Maripá de Minas (MG),314020,0.555,0.668,652,425
Marituba (PA),150442,0.628,0.621,15659,46334
Marizópolis (PB),250915,0.512,0.582,855,3623
Marliéria (MG),314030,0.537,0.629,774,818
Marmeleiro (PR),411540,0.613,0.73,1700,2543
Marmelópolis (MG),314040,0.553,0.615,371,1078
Marques de Souza (RS),431205,0.515,0.743,301,176
Marquinho (PR),411545,0.463,0.615,786,1396
Martinho Campos (MG),314050,0.515,0.688,1544,2793
Martinópole (CE),230790,0.522,0.541,1997,6197
Martinópolis (SP),352920,0.641,0.703,1769,4035
Martins (RN),240740,0.538,0.58,1246,3165
Martins Soares (MG),314053,0.512,0.619,1432,3362
Maruim (SE),280400,0.511,0.59,1791,6387
Marumbi (PR),411550,0.643,0.705,583,744
Marzagão (GO),521290,0.601,0.692,439,528
Mascote (BA),292090,0.464,0.567,1450,5581
Massapê (CE),230800,0.554,0.541,7344,15924
Massapê do Piauí (PI),220605,0.386,0.514,1050,2645
Massaranduba (PB),250920,0.441,0.552,2039,6257
Massaranduba (SC),421060,0.714,0.749,956,784
Mata (RS),431210,0.529,0.66,546,717
Mata de São João (BA),292100,0.562,0.648,7970,16942
Mata Grande (AL),270500,0.369,0.506,2355,10934
Mata Roma (MA),210640,0.494,0.483,2002,11429
Mata Verde (MG),314055,0.45,0.581,1038,3902
Matão (SP),352930,0.713,0.766,5637,7355
Mataraca (PB),250930,0.427,0.533,1538,4274
Mateiros (TO),171270,0.463,0.586,537,850
Matelândia (PR),411560,0.642,0.715,1954,546
Materlândia (MG),314060,0.497,0.557,667,1698
Mateus Leme (MG),314070,0.604,0.688,3954,5400
Mathias Lobato (MG),317150,0.483,0.596,498,1296
Matias Barbosa (MG),314080,0.616,0.703,1772,2366
Matias Cardoso (MG),314085,0.501,0.584,1849,3595
Matias Olímpio (PI),220610,0.438,0.521,789,6844
Matina (BA),292105,0.469,0.538,1992,4764
Matinha (MA),210650,0.56,0.579,2238,15385
Matinhas (PB),250933,0.4,0.531,870,2309
Matinhos (PR),411570,0.662,0.743,6004,7049
Matipó (MG),314090,0.511,0.63,3903,6780
Mato Castelhano (RS),431213,0.608,0.752,302,372
Mato Grosso (PB),250937,0.419,0.566,560,1267
Mato Leitão (RS),431215,0.676,0.721,403,357
Mato Queimado (RS),431217,0.603,0.702,133,228
Mato Rico (PR),411573,0.536,0.58,599,1076
Mato Verde (MG),314100,0.61,0.604,1620,4429
Matões (MA),210660,0.434,0.519,3217,17385
Matões do Norte (MA),210663,0.436,0.452,1123,5442
Matos Costa (SC),421070,0.541,0.63,546,715
Matozinhos (MG),314110,0.654,0.69,4518,5123
Matrinchã (GO),521295,0.572,0.651,856,1471
Matriz de Camaragibe (AL),270510,0.473,0.541,3068,10684
Matupá (MT),510560,0.631,0.706,3025,1407
Maturéia (PB),250939,0.474,0.54,756,3822
Matutina (MG),314120,0.552,0.744,351,440
Mauá (SP),352940,0.733,0.721,26946,45570
Mauá da Serra (PR),411575,0.529,0.661,1855,2053
Maués (AM),130290,0.464,0.549,4928,40884
Maurilândia (GO),521300,0.554,0.682,1313,2066
Maurilândia do Tocantins (TO),171280,0.498,0.542,753,1325
Mauriti (CE),230810,0.526,0.544,7584,20136
Maxaranguape (RN),240750,0.506,0.582,2075,4360
Maximiliano de Almeida (RS),431220,0.591,0.699,410,694
Mazagão (AP),160040,0.449,0.609,3407,16899
Medeiros (MG),314130,0.584,0.722,494,807
Medeiros Neto (BA),292110,0.501,0.626,3386,7993
Medianeira (PR),411580,0.686,0.762,4671,2032
Medicilândia (PA),150445,0.408,0.605,2486,17900
Medina (MG),314140,0.475,0.624,3421,5814
Meleiro (SC),421080,0.679,0.734,535,480
Melgaço (PA),150450,0.207,0.454,2087,21320
Mendes (RJ),330280,0.7,0.707,1896,4047
Mendes Pimentel (MG),314150,0.518,0.617,812,1548
Mendonça (SP),352950,0.663,0.72,611,574
Mercedes (PR),411585,0.68,0.708,567,125
Mercês (MG),314160,0.515,0.683,1801,2240
Meridiano (SP),352960,0.667,0.717,636,374
Meruoca (CE),230820,0.554,0.559,3537,5911
Mesópolis (SP),352965,0.666,0.674,341,207
Mesquita (MG),314170,0.555,0.638,705,1054
Mesquita (RJ),330285,0.678,0.704,15434,49070
Messias (AL),270520,0.46,0.557,3222,5494
Messias Targino (RN),240760,0.565,0.608,498,2310
Miguel Alves (PI),220620,0.396,0.533,2918,19788
Miguel Calmon (BA),292120,0.472,0.571,3542,10167
Miguel Leão (PI),220630,0.533,0.579,350,435
Miguel Pereira (RJ),330290,0.675,0.74,2532,6892
Miguelópolis (SP),352970,0.661,0.712,1502,5315
Milagres (BA),292130,0.518,0.59,1792,4628
Milagres (CE),230830,0.569,0.561,3976,12123
Milagres do Maranhão (MA),210667,0.413,0.465,980,4646
Milhã (CE),230835,0.558,0.56,1677,5889
Milton Brandão (PI),220635,0.357,0.476,764,3814
Mimoso de Goiás (GO),521305,0.543,0.656,391,808
Mimoso do Sul (ES),320340,0.541,0.672,3365,7710
Minaçu (GO),521308,0.637,0.691,3934,4376
Minador do Negrão (AL),270530,0.43,0.541,777,2547
Minas do Leão (RS),431225,0.514,0.743,759,2079
Minas Novas (MG),314180,0.528,0.6,4309,6725
Minduri (MG),314190,0.56,0.631,465,680
Mineiros (GO),521310,0.584,0.753,11143,8882
Mineiros do Tietê (SP),352980,0.658,0.719,1398,1534
Ministro Andreazza (RO),110120,0.518,0.647,1137,1597
Mira Estrela (SP),353000,0.731,0.697,380,298
Mirabela (MG),314200,0.622,0.596,2419,4325
Miracatu (SP),352990,0.655,0.645,2812,6157
Miracema (RJ),330300,0.646,0.696,2906,8127
Miracema do Tocantins (TO),171320,0.579,0.675,3526,3591
Mirador (MA),210670,0.451,0.485,2256,13400
Mirador (PR),411590,0.599,0.656,394,351
Miradouro (MG),314210,0.546,0.645,1618,1559
Miraguaí (RS),431230,0.613,0.744,550,923
Miraí (MG),314220,0.567,0.663,1978,2033
Miraíma (CE),230837,0.523,0.51,1491,7844
